first,last,position,year,number,hometown,status,grad_year,name_last_first_initial,name_last_first,name
ryan,o'connell,LB,Sr.,41,"Fairfield, Conn.",Senior,2025,"o'connell, r","o'connell, ryan",ryan o'connell
bisi,owens,WR,Sr.,7,"Cooksville, Md.",Senior,2025,"owens, b","owens, bisi",bisi owens
jared,richardson,WR,Sr.,17,"Blakeslee, Pa.",Senior,2025,"richardson, j","richardson, jared",jared richardson
isaac,shabay,RB,So.,26,"Colleyville, Texas",Sophomore,2023,"shabay, i","shabay, isaac",isaac shabay
jake,hsu,WR,Fr.,28,"Ambler, Pa.",Freshman,2022,"hsu, j","hsu, jake",jake hsu
david,okechukwu,DB,Jr.,28,"Washington, D.C.",Junior,2024,"okechukwu, d","okechukwu, david",david okechukwu
francesco,barone,DB,Sr.,29,"Colts Neck, N.J.",Senior,2025,"barone, f","barone, francesco",francesco barone
john,lista,LB,Sr.,44,"Fair Haven, N.J.",Senior,2025,"lista, j","lista, john",john lista
jake,davis,LB,Sr.,43,"Wall, N.J.",Senior,2025,"davis, j","davis, jake",jake davis
alec,wills,DB,Sr.,6,"Carson, Calif.",Senior,2025,"wills, a","wills, alec",alec wills
matthew,leyes,LS,Sr.,45,"Holly, Mich.",Senior,2025,"leyes, m","leyes, matthew",matthew leyes
michael,gavin,DL,So.,62,"West Chester, Pa.",Sophomore,2023,"gavin, m","gavin, michael",michael gavin
jake,bingham,OL,Sr.,62,"Virginia Beach, Va.",Senior,2025,"bingham, j","bingham, jake",jake bingham
cameron,wilson,OL,So.,66,"Lovettsville, Va.",Sophomore,2023,"wilson, c","wilson, cameron",cameron wilson
maxwell,freeman,OL,Sr.,67,"Alpharetta, Ga.",Senior,2025,"freeman, m","freeman, maxwell",maxwell freeman
netinho,olivieri,OL,Sr.,74,"Newton, Mass.",Senior,2025,"olivieri, n","olivieri, netinho",netinho olivieri
carter,janki,DL,Sr.,90,"Redding, Conn.",Senior,2025,"janki, c","janki, carter",carter janki
patrick,hawkins,TE,Jr.,86,"Santa Ana, Calif.",Junior,2024,"hawkins, p","hawkins, patrick",patrick hawkins
chase,meyer,P/K,Fr.,91,"Costa Mesa, Calif.",Freshman,2022,"meyer, c","meyer, chase",chase meyer
brady,ioannidis,DL,Sr.,94,"Kitchener, Ontario",Senior,2025,"ioannidis, b","ioannidis, brady",brady ioannidis
sam,smith,K,Sr.,91,"Gaithersburg, Md.",Senior,2025,"smith, s","smith, sam",sam smith
santiago,sturla,P/K,Sr.,95,"Blue Bell, Pa.",Senior,2025,"sturla, s","sturla, santiago",santiago sturla
sean,"williams, jr.",RB,Jr.,5,"Baltimore, Md.",Junior,2025,"williams, jr., s","williams, jr., sean","sean williams, jr."
